LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     2  atom types
     3  bond types
     3  angle types
     5  dihedral types

  0.0 36.0 xlo xhi
  0.0 36.0 ylo yhi
  0.0 36.0 zlo zhi

Masses

    1 15.035 #C3 "N-Alkane CH3- (UA)" 6 partial charge=0.0
    2 14.027 #C2 "Alkanes -CH2- (UA)" 6 partial charge=0.0

Atoms # full

271 91 1 0.0 1.252 19.985 14.024
272 91 2 0.0 2.558 20.42 13.722
273 91 1 0.0 2.716 21.404 14.137
274 92 1 0.0 7.252 19.985 14.024
275 92 2 0.0 8.558 20.42 13.722
276 92 1 0.0 8.716 21.404 14.137
277 93 1 0.0 13.252 19.985 14.024
278 93 2 0.0 14.558 20.42 13.722
279 93 1 0.0 14.716 21.404 14.137
280 94 1 0.0 19.252 19.985 14.024
281 94 2 0.0 20.558 20.42 13.722
282 94 1 0.0 20.716 21.404 14.137
283 95 1 0.0 25.252 19.985 14.024
284 95 2 0.0 26.558 20.42 13.722
285 95 1 0.0 26.716 21.404 14.137
286 96 1 0.0 31.252 19.985 14.024
287 96 2 0.0 32.558 20.42 13.722
288 96 1 0.0 32.716 21.404 14.137
289 97 1 0.0 1.252 25.985 14.024
290 97 2 0.0 2.558 26.42 13.722
291 97 1 0.0 2.716 27.404 14.137
292 98 1 0.0 7.252 25.985 14.024
293 98 2 0.0 8.558 26.42 13.722
294 98 1 0.0 8.716 27.404 14.137
295 99 1 0.0 13.252 25.985 14.024
296 99 2 0.0 14.558 26.42 13.722
297 99 1 0.0 14.716 27.404 14.137
298 100 1 0.0 19.252 25.985 14.024
299 100 2 0.0 20.558 26.42 13.722
300 100 1 0.0 20.716 27.404 14.137
301 101 1 0.0 25.252 25.985 14.024
302 101 2 0.0 26.558 26.42 13.722
303 101 1 0.0 26.716 27.404 14.137
304 102 1 0.0 31.252 25.985 14.024
305 102 2 0.0 32.558 26.42 13.722
306 102 1 0.0 32.716 27.404 14.137
307 103 1 0.0 1.252 31.985 14.024
308 103 2 0.0 2.558 32.42 13.722
309 103 1 0.0 2.716 33.403999999999996 14.137
310 104 1 0.0 7.252 31.985 14.024
