LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     3  atom types
     3  bond types
     1  angle types

  0.0 26.6 xlo xhi
  0.0 26.6 ylo yhi
  0.0 26.6 zlo zhi

Masses

    1 15.999 #OH "Alcohol OH (UA)" 8 partial charge=-0.7
    2 1.008 #HO "Alcohol OH (UA)" 1 partial charge=0.435
    3 15.035 #C3 "Methanol CH3- (UA)" 6 partial charge=0.265

Atoms # full

349 117 3 0.0 10.112 6.415 15.313999999999998
350 117 1 0.0 11.418 6.85 15.011999999999999
351 117 2 0.0 11.575999999999999 7.834 15.427
352 118 3 0.0 14.542 6.415 15.313999999999998
353 118 1 0.0 15.847999999999999 6.85 15.011999999999999
354 118 2 0.0 16.006 7.834 15.427
355 119 3 0.0 18.971999999999998 6.415 15.313999999999998
356 119 1 0.0 20.278 6.85 15.011999999999999
357 119 2 0.0 20.436 7.834 15.427
358 120 3 0.0 23.401999999999997 6.415 15.313999999999998
359 120 1 0.0 24.708 6.85 15.011999999999999
360 120 2 0.0 24.866 7.834 15.427
361 121 3 0.0 1.252 10.844999999999999 15.313999999999998
362 121 1 0.0 2.558 11.28 15.011999999999999
363 121 2 0.0 2.716 12.264 15.427
364 122 3 0.0 5.6819999999999995 10.844999999999999 15.313999999999998
365 122 1 0.0 6.9879999999999995 11.28 15.011999999999999
366 122 2 0.0 7.146 12.264 15.427
367 123 3 0.0 10.112 10.844999999999999 15.313999999999998
368 123 1 0.0 11.418 11.28 15.011999999999999
369 123 2 0.0 11.575999999999999 12.264 15.427
370 124 3 0.0 14.542 10.844999999999999 15.313999999999998
371 124 1 0.0 15.847999999999999 11.28 15.011999999999999
372 124 2 0.0 16.006 12.264 15.427
373 125 3 0.0 18.971999999999998 10.844999999999999 15.313999999999998
374 125 1 0.0 20.278 11.28 15.011999999999999
375 125 2 0.0 20.436 12.264 15.427
376 126 3 0.0 23.401999999999997 10.844999999999999 15.313999999999998
377 126 1 0.0 24.708 11.28 15.011999999999999
378 126 2 0.0 24.866 12.264 15.427
379 127 3 0.0 1.252 15.274999999999999 15.313999999999998
380 127 1 0.0 2.558 15.709999999999999 15.011999999999999
381 127 2 0.0 2.716 16.694 15.427
382 128 3 0.0 5.6819999999999995 15.274999999999999 15.313999999999998
383 128 1 0.0 6.9879999999999995 15.709999999999999 15.011999999999999
384 128 2 0.0 7.146 16.694 15.427
385 129 3 0.0 10.112 15.274999999999999 15.313999999999998
386 129 1 0.0 11.418 15.709999999999999 15.011999999999999
387 129 2 0.0 11.575999999999999 16.694 15.427
388 130 3 0.0 14.542 15.274999999999999 15.313999999999998
389 130 1 0.0 15.847999999999999 15.709999999999999 15.011999999999999
390 130 2 0.0 16.006 16.694 15.427
391 131 3 0.0 18.971999999999998 15.274999999999999 15.313999999999998
392 131 1 0.0 20.278 15.709999999999999 15.011999999999999
393 131 2 0.0 20.436 16.694 15.427
394 132 3 0.0 23.401999999999997 15.274999999999999 15.313999999999998
395 132 1 0.0 24.708 15.709999999999999 15.011999999999999
396 132 2 0.0 24.866 16.694 15.427
397 133 3 0.0 1.252 19.705 15.313999999999998
398 133 1 0.0 2.558 20.14 15.011999999999999
399 133 2 0.0 2.716 21.124 15.427
400 134 3 0.0 5.6819999999999995 19.705 15.313999999999998
401 134 1 0.0 6.9879999999999995 20.14 15.011999999999999
402 134 2 0.0 7.146 21.124 15.427
403 135 3 0.0 10.112 19.705 15.313999999999998
404 135 1 0.0 11.418 20.14 15.011999999999999
